adjustedHolding,adjustedMarketValue,entityProperName,reportDate,reportedHolding,reportedMarketValue,symbol
471,40435,EQ ADVISORS TRUST,2022-06-08,471,40435,AOS
435,27792,TRANSAMERICA SERIES TRUST,2022-05-27,435,27792,AOS
425,20026,VIRTUS VARIABLE INSURANCE TRUST,2020-08-21,425,20026,AOS
398,25428,"Mutual of America Variable Insurance Portfolios, Inc.",2022-05-09,398,25428,AOS
393,25109,"AB VARIABLE PRODUCTS SERIES FUND, INC.",2022-05-17,393,25109,AOS
385,22496,iSHARES TRUST,2022-06-27,385,22496,AOS
353,18638,VIRTUS OPPORTUNITIES TRUST,2020-11-23,353,18638,AOS
353,18638,MUTUAL OF AMERICA INSTITUTIONAL FUNDS INC,2020-11-24,353,18638,AOS
352,22489,HC CAPITAL TRUST,2022-05-25,352,22489,AOS
343,21914,AIM VARIABLE INSURANCE FUNDS (INVESCO VARIABLE INSURANCE FUNDS),2022-05-26,343,21914,AOS
327,20892,FIRST TRUST EXCHANGE-TRADED FUND,2022-05-26,327,20892,AOS
303,19359,MORGAN STANLEY INSTITUTIONAL FUND TRUST,2022-05-26,303,19359,AOS
302,23079,"MANNING  NAPIER FUND, INC.",2022-03-23,302,23079,AOS
302,17646,FIDELITY CONCORD STREET TRUST,2022-06-24,302,17646,AOS
300,19167,ELFUN DIVERSIFIED FUND,2022-05-27,300,19167,AOS
293,17120,ProFunds,2022-06-27,293,17120,AOS
288,16828,Columbia ETF Trust I,2022-06-27,288,16828,AOS
264,16867,FundVantage Trust,2022-05-26,264,16867,AOS
244,15589,AQR Funds,2022-05-26,244,15589,AOS
223,12225,Guggenheim Variable Funds Trust,2021-03-01,223,12225,AOS
221,14120,THRIVENT SERIES FUND INC,2022-05-27,221,14120,AOS
217,11458,VIRTUS OPPORTUNITIES TRUST,2020-11-23,217,11458,AOS
210,12270,Nushares ETF Trust,2022-06-28,210,12270,AOS
208,13289,SEI INSTITUTIONAL MANAGED TRUST,2022-05-26,208,13289,AOS
205,13097,SPDR INDEX SHARES FUNDS,2022-05-27,205,13097,AOS
200,12778,Blackstone Alternative Investment Funds,2022-05-31,200,12778,AOS
194,12395,JPMorgan Trust I,2022-05-27,194,12395,AOS
182,10634,Pacer Funds Trust,2022-06-29,182,10634,AOS
162,9466,Tidal ETF Trust,2022-06-27,162,9466,AOS
162,10350,Allspring VARIABLE TRUST,2022-05-31,162,10350,AOS
159,9290,PRUDENTIAL INVESTMENT PORTFOLIOS 2,2022-06-24,159,9290,AOS
149,11387,"MANNING  NAPIER FUND, INC.",2022-03-23,149,11387,AOS
148,10150,DBX ETF TRUST,2022-04-21,148,10150,AOS
145,9264,RYDEX VARIABLE TRUST,2022-05-26,145,9264,AOS
140,8945,NORTHERN LIGHTS FUND TRUST III,2022-05-26,140,8945,AOS
138,8817,Franklin Templeton ETF Trust,2022-05-10,138,8817,AOS
128,7479,ProFunds,2022-06-27,128,7479,AOS
122,7128,Global X Funds,2022-06-29,122,7128,AOS
121,7731,RYDEX VARIABLE TRUST,2022-05-26,121,7731,AOS
112,7156,LAZARD FUNDS INC,2022-05-27,112,7156,AOS
112,6082,VIRTUS ALTERNATIVE SOLUTIONS TRUST,2021-03-23,112,6082,AOS
112,7156,TRANSAMERICA ETF TRUST,2022-05-27,112,7156,AOS
112,7572,Humankind Benefit Corp,2021-05-25,112,7572,AOS
110,7927,Forethought Variable Insurance Trust,2021-08-19,110,7927,AOS
107,7338,PROSHARES TRUST,2022-04-28,107,7338,AOS
101,5901,ProFunds,2022-06-27,101,5901,AOS
92,5376,Global X Funds,2022-06-29,92,5376,AOS
90,5750,"T. Rowe Price Equity Series, Inc.",2022-05-27,90,5750,AOS
88,5950,HARTFORD MUTUAL FUNDS II INC,2021-05-28,88,5950,AOS
81,5175,HC CAPITAL TRUST,2022-05-25,81,5175,AOS
66,3856,ProFunds,2022-06-27,66,3856,AOS
64,4089,MORGAN STANLEY VARIABLE INSURANCE FUND INC.,2022-05-26,64,4089,AOS
56,3840,PROSHARES TRUST,2022-04-28,56,3840,AOS
46,2688,ProFunds,2022-06-27,46,2688,AOS
42,2683,ETF Opportunities Trust,2022-05-25,42,2683,AOS
36,2300,"Mutual of America Variable Insurance Portfolios, Inc.",2022-05-09,36,2300,AOS
36,2469,PROSHARES TRUST,2022-04-28,36,2469,AOS
36,2469,FIRST TRUST EXCHANGE-TRADED FUND VIII,2022-04-21,36,2469,AOS
21,1342,MUTUAL OF AMERICA INVESTMENT CORP,2022-05-09,21,1342,AOS
19,1003,MUTUAL OF AMERICA INSTITUTIONAL FUNDS INC,2020-11-24,19,1003,AOS
17,1166,PROSHARES TRUST,2022-04-28,17,1166,AOS
17,1208,Global Beta ETF Trust,2021-07-21,17,1208,AOS
16,935,Global X Funds,2022-06-29,16,935,AOS
14,894,NORTHERN LIGHTS FUND TRUST II,2022-05-25,14,894,AOS
13,760,Global X Funds,2022-06-29,13,760,AOS
10,686,PROSHARES TRUST,2022-04-28,10,686,AOS
6,351,Pacer Funds Trust,2022-06-29,6,351,AOS
2,137,Federated Hermes Global Allocation Fund,2022-04-22,2,137,AOS
-298,-11267,AGF Investments Trust,2020-05-13,-298,-11267,AOS
-411,-26259,LoCorr Investment Trust,2022-05-26,-411,-26259,AOS
